rank,state,state_name,tier3_candidates,tier3_pass,tier3_flagged,tier3_quarantined,distinct_awardees,rcj_federal_amount_sum,rcj_amount_max,rcj_awards_records_raw,in_cms_announcements,cms_announced_date,cms_source,cms_release_url,cms_fy2026_allotment,extraction_status,survey_status,investigate
35,HI,Hawaii,2,2,0,0,2,62000000,45000000,2,Yes,2026-09-01,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-58-million-deliver-new-ambulances-upgrade-emergency-communications-0,188892440,INVESTIGATED_NO_PROBE,RCJ_AND_CMS,No
36,UT,Utah,2,2,0,0,2,6000000,3000000,2,No,,,,195743566,NOT_EXTRACTED,RCJ_ONLY,Yes
37,MT,Montana,2,1,1,0,2,3184710.4,2000000,5,No,,,,233509359,NOT_EXTRACTED,RCJ_ONLY,Yes
38,AZ,Arizona,1,0,1,3,1,12000000,12000000,6,No,,,,166988956,NOT_EXTRACTED,RCJ_ONLY,Yes
39,OH,Ohio,1,1,0,0,1,10000000,10000000,1,Yes,2026-08-26,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-3-15-million-expand-pharmacy-connectivity-throughout-rural-ohio,202030262,EXTRACTED,RCJ_AND_CMS,No
40,RI,Rhode Island,1,1,0,0,1,6695000,6695000,1,Yes,2026-09-04,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-5-48-million-strengthen-healthcare-workforce-pipeline-rural-rhode,156169931,NOT_EXTRACTED,RCJ_AND_CMS,No
41,ND,North Dakota,1,0,1,0,1,630000,630000,1,Yes,2026-08-20,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-delivers-critical-funding-launch-coordinating-connecting-care-initiative-north,198936970,INVESTIGATED_NO_LIST,RCJ_AND_CMS,No
42,NC,North Carolina,1,1,0,0,1,195000,195000,1,Yes,2026-09-14,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-expands-preventive-behavioral-healthcare-access-students-across-rural-north,213008356,EXTRACTED,RCJ_AND_CMS,No
43,VA,Virginia,1,1,0,0,1,127500,127500,1,Yes,2026-08-28,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-122-million-expand-healthcare-access-workforce-innovation-across,189544888,EXTRACTED,RCJ_AND_CMS,No
44,ID,Idaho,1,0,1,0,1,1,1,1,No,,,,185974368,EXTRACTED,RCJ_ONLY,No
45,MA,Massachusetts,1,0,1,0,1,1,1,1,No,,,,162005238,INVESTIGATED_NO_PROBE,RCJ_ONLY,No
46,TN,Tennessee,1,0,1,0,1,1,1,1,No,,,,206888882,EXTRACTED,RCJ_ONLY,No
47,IL,Illinois,0,0,0,0,0,0,,0,No,,,,193418216,EXTRACTED,NEITHER,No
48,KY,Kentucky,0,0,0,0,0,0,,0,No,,,,212905591,INVESTIGATED_NO_LIST,NEITHER,No
49,NY,New York,0,0,0,0,0,0,,0,Yes,2026-09-04,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-76-million-strengthen-regional-coordination-modernize-healthcare,212058208,EXTRACTED,CMS_ONLY,No
50,WY,Wyoming,0,0,0,0,0,0,,0,No,,,,205004743,EXTRACTED,NEITHER,No
